"Year","LGA","Offence","Rate","Type"
2025,"MANSFIELD","Serious assault",54.7,"FV"
2025,"MANSFIELD","Serious assault",63.8,"Non-FV"
2025,"MANSFIELD","Common assault",82,"FV"
2025,"MANSFIELD","Common assault",191.4,"Non-FV"
2025,"MANSFIELD","Stalking",9.1,"FV"
2025,"MANSFIELD","Harassment and private nuisance",9.1,"FV"
2025,"MANSFIELD","Threatening behaviour",27.3,"FV"
2025,"MANSFIELD","Threatening behaviour",72.9,"Non-FV"
2025,"MURRINDINDI","Serious assault",89.2,"FV"
2025,"MURRINDINDI","Serious assault",95.6,"Non-FV"
2025,"MURRINDINDI","Common assault",229.4,"FV"
2025,"MURRINDINDI","Common assault",95.6,"Non-FV"
2025,"MURRINDINDI","Stalking",12.7,"FV"
2025,"MURRINDINDI","Stalking",12.7,"Non-FV"
2025,"MURRINDINDI","Harassment and private nuisance",25.5,"FV"
2025,"MURRINDINDI","Harassment and private nuisance",12.7,"Non-FV"
2025,"MURRINDINDI","Threatening behaviour",51,"FV"
2025,"MURRINDINDI","Threatening behaviour",63.7,"Non-FV"
2025,"GREATER BENDIGO","Serious assault",215.7,"FV"
2025,"GREATER BENDIGO","Serious assault",171,"Non-FV"
2025,"GREATER BENDIGO","Common assault",235.3,"FV"
2025,"GREATER BENDIGO","Common assault",260.4,"Non-FV"
2025,"GREATER BENDIGO","Stalking",28.2,"FV"
2025,"GREATER BENDIGO","Stalking",15.7,"Non-FV"
2025,"GREATER BENDIGO","Harassment and private nuisance",37.7,"FV"
2025,"GREATER BENDIGO","Harassment and private nuisance",17.3,"Non-FV"
2025,"GREATER BENDIGO","Threatening behaviour",101.2,"FV"
2025,"GREATER BENDIGO","Threatening behaviour",48.6,"Non-FV"
2025,"BOROONDARA","Serious assault",33.4,"FV"
2025,"BOROONDARA","Serious assault",49,"Non-FV"
2025,"BOROONDARA","Common assault",85.2,"FV"
2025,"BOROONDARA","Common assault",123.6,"Non-FV"
2025,"BOROONDARA","Stalking",17.3,"FV"
2025,"BOROONDARA","Stalking",11.7,"Non-FV"
2025,"BOROONDARA","Harassment and private nuisance",18.9,"FV"
2025,"BOROONDARA","Harassment and private nuisance",17.8,"Non-FV"
2025,"BOROONDARA","Threatening behaviour",16.7,"FV"
2025,"BOROONDARA","Threatening behaviour",23.9,"Non-FV"
2025,"BRIMBANK","Serious assault",132.5,"FV"
2025,"BRIMBANK","Serious assault",136.1,"Non-FV"
2025,"BRIMBANK","Common assault",236,"FV"
2025,"BRIMBANK","Common assault",185.8,"Non-FV"
2025,"BRIMBANK","Stalking",14.1,"FV"
2025,"BRIMBANK","Stalking",10,"Non-FV"
2025,"BRIMBANK","Harassment and private nuisance",30.1,"FV"
2025,"BRIMBANK","Harassment and private nuisance",13.6,"Non-FV"
2025,"BRIMBANK","Threatening behaviour",73.8,"FV"
2025,"BRIMBANK","Threatening behaviour",55.2,"Non-FV"
2025,"CAMPASPE","Serious assault",225.1,"FV"
2025,"CAMPASPE","Serious assault",154.4,"Non-FV"
2025,"CAMPASPE","Common assault",306.2,"FV"
2025,"CAMPASPE","Common assault",269.6,"Non-FV"
2025,"CAMPASPE","Stalking",13.1,"FV"
2025,"CAMPASPE","Stalking",7.9,"Non-FV"
2025,"CAMPASPE","Harassment and private nuisance",15.7,"FV"
2025,"CAMPASPE","Harassment and private nuisance",5.2,"Non-FV"
2025,"CAMPASPE","Threatening behaviour",75.9,"FV"
2025,"CAMPASPE","Threatening behaviour",44.5,"Non-FV"
2025,"CARDINIA","Serious assault",143.7,"FV"
2025,"CARDINIA","Serious assault",82.6,"Non-FV"
2025,"CARDINIA","Common assault",275.4,"FV"
2025,"CARDINIA","Common assault",131.8,"Non-FV"
2025,"CARDINIA","Stalking",29.8,"FV"
2025,"CARDINIA","Stalking",26.8,"Non-FV"
2025,"CARDINIA","Harassment and private nuisance",51.4,"FV"
2025,"CARDINIA","Harassment and private nuisance",35,"Non-FV"
2025,"CARDINIA","Threatening behaviour",72.2,"FV"
2025,"CARDINIA","Threatening behaviour",33.5,"Non-FV"
2025,"CASEY","Serious assault",182.2,"FV"
2025,"CASEY","Serious assault",95.1,"Non-FV"
2025,"CASEY","Common assault",298.8,"FV"
2025,"CASEY","Common assault",156.4,"Non-FV"
2025,"CASEY","Stalking",37.1,"FV"
2025,"CASEY","Stalking",17.5,"Non-FV"
2025,"CASEY","Harassment and private nuisance",39.3,"FV"
2025,"CASEY","Harassment and private nuisance",19.2,"Non-FV"
2025,"CASEY","Threatening behaviour",77.3,"FV"
2025,"CASEY","Threatening behaviour",50.5,"Non-FV"
2025,"CENTRAL GOLDFIELDS","Serious assault",304.6,"FV"
2025,"CENTRAL GOLDFIELDS","Serious assault",224.8,"Non-FV"
2025,"CENTRAL GOLDFIELDS","Common assault",355.3,"FV"
2025,"CENTRAL GOLDFIELDS","Common assault",319.1,"Non-FV"
2025,"CENTRAL GOLDFIELDS","Stalking",43.5,"FV"
2025,"CENTRAL GOLDFIELDS","Harassment and private nuisance",36.3,"FV"
2025,"CENTRAL GOLDFIELDS","Harassment and private nuisance",50.8,"Non-FV"
2025,"CENTRAL GOLDFIELDS","Threatening behaviour",87,"FV"
2025,"CENTRAL GOLDFIELDS","Threatening behaviour",58,"Non-FV"
2025,"LODDON","Serious assault",77.2,"FV"
2025,"LODDON","Serious assault",128.7,"Non-FV"
2025,"LODDON","Common assault",141.5,"FV"
2025,"LODDON","Common assault",205.9,"Non-FV"
2025,"LODDON","Stalking",12.9,"FV"
2025,"LODDON","Harassment and private nuisance",12.9,"FV"
2025,"LODDON","Threatening behaviour",51.5,"FV"
2025,"LODDON","Threatening behaviour",90.1,"Non-FV"
2025,"MOUNT ALEXANDER","Serious assault",95.1,"FV"
2025,"MOUNT ALEXANDER","Serious assault",80.8,"Non-FV"
2025,"MOUNT ALEXANDER","Common assault",166.4,"FV"
2025,"MOUNT ALEXANDER","Common assault",161.6,"Non-FV"
2025,"MOUNT ALEXANDER","Stalking",19,"FV"
2025,"MOUNT ALEXANDER","Stalking",28.5,"Non-FV"
2025,"MOUNT ALEXANDER","Harassment and private nuisance",9.5,"FV"
2025,"MOUNT ALEXANDER","Harassment and private nuisance",14.3,"Non-FV"
2025,"MOUNT ALEXANDER","Threatening behaviour",33.3,"FV"
2025,"MOUNT ALEXANDER","Threatening behaviour",61.8,"Non-FV"
2025,"DAREBIN","Serious assault",102.6,"FV"
2025,"DAREBIN","Serious assault",131.6,"Non-FV"
2025,"DAREBIN","Common assault",155.1,"FV"
2025,"DAREBIN","Common assault",205.2,"Non-FV"
2025,"DAREBIN","Stalking",20.4,"FV"
2025,"DAREBIN","Stalking",18.5,"Non-FV"
2025,"DAREBIN","Harassment and private nuisance",35.8,"FV"
2025,"DAREBIN","Harassment and private nuisance",21.6,"Non-FV"
2025,"DAREBIN","Threatening behaviour",50.1,"FV"
2025,"DAREBIN","Threatening behaviour",57.5,"Non-FV"
2025,"EAST GIPPSLAND","Serious assault",257.2,"FV"
2025,"EAST GIPPSLAND","Serious assault",158.7,"Non-FV"
2025,"EAST GIPPSLAND","Common assault",701.3,"FV"
2025,"EAST GIPPSLAND","Common assault",367.7,"Non-FV"
2025,"EAST GIPPSLAND","Stalking",62.3,"FV"
2025,"EAST GIPPSLAND","Stalking",42.2,"Non-FV"
2025,"EAST GIPPSLAND","Harassment and private nuisance",70.3,"FV"
2025,"EAST GIPPSLAND","Harassment and private nuisance",18.1,"Non-FV"
2025,"EAST GIPPSLAND","Threatening behaviour",136.6,"FV"
2025,"EAST GIPPSLAND","Threatening behaviour",100.5,"Non-FV"
2025,"FRANKSTON","Serious assault",167.1,"FV"
2025,"FRANKSTON","Serious assault",141.7,"Non-FV"
2025,"FRANKSTON","Common assault",375.5,"FV"
2025,"FRANKSTON","Common assault",293.7,"Non-FV"
2025,"FRANKSTON","Stalking",40.6,"FV"
2025,"FRANKSTON","Stalking",20.6,"Non-FV"
2025,"FRANKSTON","Harassment and private nuisance",46.8,"FV"
2025,"FRANKSTON","Harassment and private nuisance",30.3,"Non-FV"
2025,"FRANKSTON","Threatening behaviour",85.3,"FV"
2025,"FRANKSTON","Threatening behaviour",67.4,"Non-FV"
2025,"GREATER GEELONG","Serious assault",156.8,"FV"
2025,"GREATER GEELONG","Serious assault",136.5,"Non-FV"
2025,"GREATER GEELONG","Common assault",205.4,"FV"
2025,"GREATER GEELONG","Common assault",176.7,"Non-FV"
2025,"GREATER GEELONG","Stalking",24,"FV"
2025,"GREATER GEELONG","Stalking",9.1,"Non-FV"
2025,"GREATER GEELONG","Harassment and private nuisance",37.5,"FV"
2025,"GREATER GEELONG","Harassment and private nuisance",14.5,"Non-FV"
2025,"GREATER GEELONG","Threatening behaviour",68.3,"FV"
2025,"GREATER GEELONG","Threatening behaviour",42.6,"Non-FV"
2025,"QUEENSCLIFFE","Serious assault",112.8,"FV"
2025,"QUEENSCLIFFE","Common assault",28.2,"FV"
2025,"QUEENSCLIFFE","Common assault",28.2,"Non-FV"
2025,"QUEENSCLIFFE","Threatening behaviour",28.2,"FV"
2025,"BAYSIDE","Serious assault",25.3,"FV"
2025,"BAYSIDE","Serious assault",51.4,"Non-FV"
2025,"BAYSIDE","Common assault",139.4,"FV"
2025,"BAYSIDE","Common assault",93.5,"Non-FV"
2025,"BAYSIDE","Stalking",13.1,"FV"
2025,"BAYSIDE","Stalking",11.2,"Non-FV"
2025,"BAYSIDE","Harassment and private nuisance",12.2,"FV"
2025,"BAYSIDE","Harassment and private nuisance",24.3,"Non-FV"
2025,"BAYSIDE","Threatening behaviour",22.4,"FV"
2025,"BAYSIDE","Threatening behaviour",23.4,"Non-FV"
2025,"GLEN EIRA","Serious assault",35.6,"FV"
2025,"GLEN EIRA","Serious assault",47.9,"Non-FV"
2025,"GLEN EIRA","Common assault",168.9,"FV"
2025,"GLEN EIRA","Common assault",125.3,"Non-FV"
2025,"GLEN EIRA","Stalking",17.8,"FV"
2025,"GLEN EIRA","Stalking",17.2,"Non-FV"
2025,"GLEN EIRA","Harassment and private nuisance",19,"FV"
2025,"GLEN EIRA","Harassment and private nuisance",19.6,"Non-FV"
2025,"GLEN EIRA","Threatening behaviour",15.4,"FV"
2025,"GLEN EIRA","Threatening behaviour",30.1,"Non-FV"
2025,"GREATER DANDENONG","Serious assault",180.6,"FV"
2025,"GREATER DANDENONG","Serious assault",174.1,"Non-FV"
2025,"GREATER DANDENONG","Common assault",385.6,"FV"
2025,"GREATER DANDENONG","Common assault",338.8,"Non-FV"
2025,"GREATER DANDENONG","Stalking",26.7,"FV"
2025,"GREATER DANDENONG","Stalking",21.3,"Non-FV"
2025,"GREATER DANDENONG","Harassment and private nuisance",39.7,"FV"
2025,"GREATER DANDENONG","Harassment and private nuisance",21.9,"Non-FV"
2025,"GREATER DANDENONG","Threatening behaviour",125.6,"FV"
2025,"GREATER DANDENONG","Threatening behaviour",88.2,"Non-FV"
2025,"HOBSONS BAY","Serious assault",122.8,"FV"
2025,"HOBSONS BAY","Serious assault",116.6,"Non-FV"
2025,"HOBSONS BAY","Common assault",157.9,"FV"
2025,"HOBSONS BAY","Common assault",165.2,"Non-FV"
2025,"HOBSONS BAY","Stalking",12.4,"FV"
2025,"HOBSONS BAY","Stalking",6.2,"Non-FV"
2025,"HOBSONS BAY","Harassment and private nuisance",12.4,"FV"
2025,"HOBSONS BAY","Harassment and private nuisance",8.3,"Non-FV"
2025,"HOBSONS BAY","Threatening behaviour",48.5,"FV"
2025,"HOBSONS BAY","Threatening behaviour",23.7,"Non-FV"
2025,"HINDMARSH","Serious assault",183.2,"FV"
2025,"HINDMARSH","Serious assault",55,"Non-FV"
2025,"HINDMARSH","Common assault",146.6,"FV"
2025,"HINDMARSH","Common assault",164.9,"Non-FV"
2025,"HINDMARSH","Stalking",18.3,"FV"
2025,"HINDMARSH","Harassment and private nuisance",18.3,"FV"
2025,"HINDMARSH","Threatening behaviour",55,"FV"
2025,"HORSHAM","Serious assault",327.8,"FV"
2025,"HORSHAM","Serious assault",225.1,"Non-FV"
2025,"HORSHAM","Common assault",513.8,"FV"
2025,"HORSHAM","Common assault",371.9,"Non-FV"
2025,"HORSHAM","Stalking",132.1,"FV"
2025,"HORSHAM","Stalking",97.9,"Non-FV"
2025,"HORSHAM","Harassment and private nuisance",39.1,"FV"
2025,"HORSHAM","Harassment and private nuisance",24.5,"Non-FV"
2025,"HORSHAM","Threatening behaviour",132.1,"FV"
2025,"HORSHAM","Threatening behaviour",97.9,"Non-FV"
2025,"WEST WIMMERA","Serious assault",52,"FV"
2025,"WEST WIMMERA","Serious assault",104,"Non-FV"
2025,"WEST WIMMERA","Common assault",130,"FV"
2025,"WEST WIMMERA","Common assault",78,"Non-FV"
2025,"WEST WIMMERA","Stalking",26,"FV"
2025,"WEST WIMMERA","Harassment and private nuisance",78,"FV"
2025,"WEST WIMMERA","Threatening behaviour",78,"FV"
2025,"WEST WIMMERA","Threatening behaviour",26,"Non-FV"
2025,"HUME","Serious assault",219.1,"FV"
2025,"HUME","Serious assault",128.5,"Non-FV"
2025,"HUME","Common assault",215.9,"FV"
2025,"HUME","Common assault",176.6,"Non-FV"
2025,"HUME","Stalking",35.7,"FV"
2025,"HUME","Stalking",14.3,"Non-FV"
2025,"HUME","Harassment and private nuisance",55,"FV"
2025,"HUME","Harassment and private nuisance",26,"Non-FV"
2025,"HUME","Threatening behaviour",89.6,"FV"
2025,"HUME","Threatening behaviour",47.5,"Non-FV"
2025,"KINGSTON","Serious assault",76.9,"FV"
2025,"KINGSTON","Serious assault",88.2,"Non-FV"
2025,"KINGSTON","Common assault",228.3,"FV"
2025,"KINGSTON","Common assault",163.9,"Non-FV"
2025,"KINGSTON","Stalking",13.7,"FV"
2025,"KINGSTON","Stalking",10.1,"Non-FV"
2025,"KINGSTON","Harassment and private nuisance",23.2,"FV"
2025,"KINGSTON","Harassment and private nuisance",20.3,"Non-FV"
2025,"KINGSTON","Threatening behaviour",37,"FV"
2025,"KINGSTON","Threatening behaviour",35.8,"Non-FV"
2025,"KNOX","Serious assault",67.1,"FV"
2025,"KNOX","Serious assault",62.8,"Non-FV"
2025,"KNOX","Common assault",193.9,"FV"
2025,"KNOX","Common assault",134.7,"Non-FV"
2025,"KNOX","Stalking",16.5,"FV"
2025,"KNOX","Stalking",11,"Non-FV"
2025,"KNOX","Harassment and private nuisance",12.8,"FV"
2025,"KNOX","Harassment and private nuisance",11,"Non-FV"
2025,"KNOX","Threatening behaviour",36,"FV"
2025,"KNOX","Threatening behaviour",28,"Non-FV"
2025,"LATROBE","Serious assault",312.2,"FV"
2025,"LATROBE","Serious assault",256.8,"Non-FV"
2025,"LATROBE","Common assault",637,"FV"
2025,"LATROBE","Common assault",439.3,"Non-FV"
2025,"LATROBE","Stalking",68,"FV"
2025,"LATROBE","Stalking",13.8,"Non-FV"
2025,"LATROBE","Harassment and private nuisance",52.9,"FV"
2025,"LATROBE","Harassment and private nuisance",27.7,"Non-FV"
2025,"LATROBE","Threatening behaviour",129.7,"FV"
2025,"LATROBE","Threatening behaviour",102,"Non-FV"
2025,"MACEDON RANGES","Serious assault",93.5,"FV"
2025,"MACEDON RANGES","Serious assault",56.8,"Non-FV"
2025,"MACEDON RANGES","Common assault",146.6,"FV"
2025,"MACEDON RANGES","Common assault",88,"Non-FV"
2025,"MACEDON RANGES","Stalking",18.3,"FV"
2025,"MACEDON RANGES","Stalking",11,"Non-FV"
2025,"MACEDON RANGES","Harassment and private nuisance",31.2,"FV"
2025,"MACEDON RANGES","Harassment and private nuisance",14.7,"Non-FV"
2025,"MACEDON RANGES","Threatening behaviour",29.3,"FV"
2025,"MACEDON RANGES","Threatening behaviour",31.2,"Non-FV"
2025,"MANNINGHAM","Serious assault",30.9,"FV"
2025,"MANNINGHAM","Serious assault",37.7,"Non-FV"
2025,"MANNINGHAM","Common assault",74.6,"FV"
2025,"MANNINGHAM","Common assault",71.6,"Non-FV"
2025,"MANNINGHAM","Stalking",12.1,"FV"
2025,"MANNINGHAM","Stalking",9.8,"Non-FV"
2025,"MANNINGHAM","Harassment and private nuisance",13.6,"FV"
2025,"MANNINGHAM","Harassment and private nuisance",11.3,"Non-FV"
2025,"MANNINGHAM","Threatening behaviour",19.6,"FV"
2025,"MANNINGHAM","Threatening behaviour",22.6,"Non-FV"
2025,"MARIBYRNONG","Serious assault",141.6,"FV"
2025,"MARIBYRNONG","Serious assault",192,"Non-FV"
2025,"MARIBYRNONG","Common assault",176.2,"FV"
2025,"MARIBYRNONG","Common assault",315.8,"Non-FV"
2025,"MARIBYRNONG","Stalking",24.1,"FV"
2025,"MARIBYRNONG","Stalking",26.2,"Non-FV"
2025,"MARIBYRNONG","Harassment and private nuisance",13.6,"FV"
2025,"MARIBYRNONG","Harassment and private nuisance",25.2,"Non-FV"
2025,"MARIBYRNONG","Threatening behaviour",32.5,"FV"
2025,"MARIBYRNONG","Threatening behaviour",55.6,"Non-FV"
2025,"MAROONDAH","Serious assault",88.2,"FV"
2025,"MAROONDAH","Serious assault",84,"Non-FV"
2025,"MAROONDAH","Common assault",254.6,"FV"
2025,"MAROONDAH","Common assault",188,"Non-FV"
2025,"MAROONDAH","Stalking",23.3,"FV"
2025,"MAROONDAH","Stalking",16.6,"Non-FV"
2025,"MAROONDAH","Harassment and private nuisance",20.8,"FV"
2025,"MAROONDAH","Harassment and private nuisance",17.5,"Non-FV"
2025,"MAROONDAH","Threatening behaviour",54.1,"FV"
2025,"MAROONDAH","Threatening behaviour",36.6,"Non-FV"
2025,"MELBOURNE","Serious assault",183.5,"FV"
2025,"MELBOURNE","Serious assault",453.3,"Non-FV"
2025,"MELBOURNE","Common assault",217.4,"FV"
2025,"MELBOURNE","Common assault",1014.5,"Non-FV"
2025,"MELBOURNE","Stalking",29.3,"FV"
2025,"MELBOURNE","Stalking",31.9,"Non-FV"
2025,"MELBOURNE","Harassment and private nuisance",47.8,"FV"
2025,"MELBOURNE","Harassment and private nuisance",45.2,"Non-FV"
2025,"MELBOURNE","Threatening behaviour",44.7,"FV"
2025,"MELBOURNE","Threatening behaviour",103.3,"Non-FV"
2025,"MELTON","Serious assault",164.5,"FV"
2025,"MELTON","Serious assault",88.3,"Non-FV"
2025,"MELTON","Common assault",231.3,"FV"
2025,"MELTON","Common assault",113.1,"Non-FV"
2025,"MELTON","Stalking",24.8,"FV"
2025,"MELTON","Stalking",18.4,"Non-FV"
2025,"MELTON","Harassment and private nuisance",44.1,"FV"
2025,"MELTON","Harassment and private nuisance",17.6,"Non-FV"
2025,"MELTON","Threatening behaviour",92.1,"FV"
2025,"MELTON","Threatening behaviour",36,"Non-FV"
2025,"MERRI-BEK","Serious assault",114.4,"FV"
2025,"MERRI-BEK","Serious assault",116,"Non-FV"
2025,"MERRI-BEK","Common assault",149.4,"FV"
2025,"MERRI-BEK","Common assault",183.8,"Non-FV"
2025,"MERRI-BEK","Stalking",24.9,"FV"
2025,"MERRI-BEK","Stalking",23.3,"Non-FV"
2025,"MERRI-BEK","Harassment and private nuisance",36,"FV"
2025,"MERRI-BEK","Harassment and private nuisance",21.7,"Non-FV"
2025,"MERRI-BEK","Threatening behaviour",42.9,"FV"
2025,"MERRI-BEK","Threatening behaviour",53.5,"Non-FV"
2025,"MILDURA","Serious assault",424.5,"FV"
2025,"MILDURA","Serious assault",169.1,"Non-FV"
2025,"MILDURA","Common assault",491.8,"FV"
2025,"MILDURA","Common assault",308.9,"Non-FV"
2025,"MILDURA","Stalking",53.5,"FV"
2025,"MILDURA","Stalking",22.4,"Non-FV"
2025,"MILDURA","Harassment and private nuisance",51.8,"FV"
2025,"MILDURA","Harassment and private nuisance",29.3,"Non-FV"
2025,"MILDURA","Threatening behaviour",145,"FV"
2025,"MILDURA","Threatening behaviour",51.8,"Non-FV"
2025,"MITCHELL","Serious assault",267.5,"FV"
2025,"MITCHELL","Serious assault",104.3,"Non-FV"
2025,"MITCHELL","Common assault",296.1,"FV"
2025,"MITCHELL","Common assault",227.1,"Non-FV"
2025,"MITCHELL","Stalking",48.8,"FV"
2025,"MITCHELL","Stalking",15.1,"Non-FV"
2025,"MITCHELL","Harassment and private nuisance",84.1,"FV"
2025,"MITCHELL","Harassment and private nuisance",20.2,"Non-FV"
2025,"MITCHELL","Threatening behaviour",131.2,"FV"
2025,"MITCHELL","Threatening behaviour",75.7,"Non-FV"
2025,"STRATHBOGIE","Serious assault",84.3,"FV"
2025,"STRATHBOGIE","Serious assault",84.3,"Non-FV"
2025,"STRATHBOGIE","Common assault",168.6,"FV"
2025,"STRATHBOGIE","Common assault",84.3,"Non-FV"
2025,"STRATHBOGIE","Stalking",8.4,"FV"
2025,"STRATHBOGIE","Harassment and private nuisance",25.3,"FV"
2025,"STRATHBOGIE","Threatening behaviour",59,"FV"
2025,"STRATHBOGIE","Threatening behaviour",8.4,"Non-FV"
2025,"MONASH","Serious assault",72.3,"FV"
2025,"MONASH","Serious assault",68,"Non-FV"
2025,"MONASH","Common assault",120.4,"FV"
2025,"MONASH","Common assault",154.9,"Non-FV"
2025,"MONASH","Stalking",8,"FV"
2025,"MONASH","Stalking",10.9,"Non-FV"
2025,"MONASH","Harassment and private nuisance",10.4,"FV"
2025,"MONASH","Harassment and private nuisance",13.7,"Non-FV"
2025,"MONASH","Threatening behaviour",25.5,"FV"
2025,"MONASH","Threatening behaviour",28.8,"Non-FV"
2025,"MOONEE VALLEY","Serious assault",106.8,"FV"
2025,"MOONEE VALLEY","Serious assault",70.9,"Non-FV"
2025,"MOONEE VALLEY","Common assault",130.4,"FV"
2025,"MOONEE VALLEY","Common assault",159.4,"Non-FV"
2025,"MOONEE VALLEY","Stalking",19.8,"FV"
2025,"MOONEE VALLEY","Stalking",15.3,"Non-FV"
2025,"MOONEE VALLEY","Harassment and private nuisance",22.1,"FV"
2025,"MOONEE VALLEY","Harassment and private nuisance",23.6,"Non-FV"
2025,"MOONEE VALLEY","Threatening behaviour",35.1,"FV"
2025,"MOONEE VALLEY","Threatening behaviour",32,"Non-FV"
2025,"GOLDEN PLAINS","Serious assault",52.1,"FV"
2025,"GOLDEN PLAINS","Serious assault",26,"Non-FV"
2025,"GOLDEN PLAINS","Common assault",119.1,"FV"
2025,"GOLDEN PLAINS","Common assault",37.2,"Non-FV"
2025,"GOLDEN PLAINS","Stalking",3.7,"FV"
2025,"GOLDEN PLAINS","Stalking",11.2,"Non-FV"
2025,"GOLDEN PLAINS","Harassment and private nuisance",7.4,"FV"
2025,"GOLDEN PLAINS","Harassment and private nuisance",7.4,"Non-FV"
2025,"GOLDEN PLAINS","Threatening behaviour",14.9,"FV"
2025,"GOLDEN PLAINS","Threatening behaviour",22.3,"Non-FV"
2025,"HEPBURN","Serious assault",94.3,"FV"
2025,"HEPBURN","Serious assault",58.9,"Non-FV"
2025,"HEPBURN","Common assault",82.5,"FV"
2025,"HEPBURN","Common assault",123.8,"Non-FV"
2025,"HEPBURN","Stalking",5.9,"Non-FV"
2025,"HEPBURN","Threatening behaviour",17.7,"FV"
2025,"HEPBURN","Threatening behaviour",11.8,"Non-FV"
2025,"MOORABOOL","Serious assault",248.4,"FV"
2025,"MOORABOOL","Serious assault",98.4,"Non-FV"
2025,"MOORABOOL","Common assault",243.5,"FV"
2025,"MOORABOOL","Common assault",113.1,"Non-FV"
